City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
213,Kapaa,28,US,2022-10-06 01:55:20,71,22.0752,-159.319,84.18,1.99
214,Lakes Entrance,96,AU,2022-10-06 01:55:21,67,-37.8811,147.981,65.16,12.93
215,Tabas,0,IR,2022-10-06 01:55:21,18,33.5959,56.9244,73.62,2.3
216,Richards Bay,64,ZA,2022-10-06 01:55:21,87,-28.783,32.0377,72.16,13.65
217,Ahipara,89,NZ,2022-10-06 01:51:33,55,-35.1667,173.1667,55.56,18.3
218,Kaoma,7,ZM,2022-10-06 01:55:22,30,-14.7833,24.8,62.92,6.71
219,Rundu,2,NA,2022-10-06 01:55:23,20,-17.9333,19.7667,70.81,7.47
220,Zhanaozen,11,KZ,2022-10-06 01:55:23,17,43.3,52.8,57.2,12.15
221,Portland,20,US,2022-10-06 01:51:50,76,45.5234,-122.6762,70.52,4.61
222,Avarua,20,CK,2022-10-06 01:55:24,65,-21.2078,-159.775,78.85,18.41
223,Seymchan,100,RU,2022-10-06 01:55:25,87,62.8833,152.4333,21.38,16.02
224,Atar,6,MR,2022-10-06 01:51:03,17,20.5169,-13.0499,90.05,12.86
225,Druzhba,100,UA,2022-10-06 01:55:25,95,52.0428,33.9453,45.57,7.14
226,Anshun,100,CN,2022-10-06 01:55:26,80,26.25,105.9333,67.44,15.03
227,Alenquer,6,BR,2022-10-06 01:56:27,52,-1.9417,-54.7383,82.02,4.23
228,Alyangula,57,AU,2022-10-06 01:54:27,59,-13.8483,136.4192,87.06,6.98
229,Misratah,3,LY,2022-10-06 01:56:27,61,32.3754,15.0925,73.0,10.31
230,Verona,40,IT,2022-10-06 01:56:28,94,45.4167,11.0333,60.39,3.44
231,Jos,44,NG,2022-10-06 01:56:28,80,9.9167,8.9,64.18,3.27
232,Bandarbeyla,9,SO,2022-10-06 01:51:40,88,9.4942,50.8122,75.87,19.26
233,Omsukchan,100,RU,2022-10-06 01:56:29,79,62.5333,155.8,15.55,8.59
234,Kwakoa,100,TZ,2022-10-06 01:56:29,81,-3.7667,37.7167,67.41,3.38
235,Marawi,72,PH,2022-10-06 01:56:30,66,7.9986,124.2928,80.51,2.66
236,Saint-Philippe,40,RE,2022-10-06 01:56:30,77,-21.3585,55.7679,63.99,11.54
237,Barcelona,40,ES,2022-10-06 01:55:17,84,41.3888,2.159,71.55,5.75
238,Cooma,100,AU,2022-10-06 01:56:31,93,-36.2333,149.1333,53.37,17.27
239,Lillooet,28,CA,2022-10-06 01:56:31,47,50.6856,-121.942,68.65,1.88
240,Tual,98,ID,2022-10-06 01:56:32,75,-5.6667,132.75,83.32,10.11
241,Itoman,40,JP,2022-10-06 01:56:32,70,26.1247,127.6694,84.4,11.5
242,Kenai,75,US,2022-10-06 01:51:53,64,60.5544,-151.2583,55.49,17.27
243,Hoquiam,17,US,2022-10-06 01:56:33,92,46.9809,-123.8893,63.45,4.79
244,Labuhan,75,ID,2022-10-06 01:56:27,68,-6.8844,112.2051,83.88,8.34
245,Rapid Valley,45,US,2022-10-06 01:56:33,54,44.0625,-103.1463,64.63,1.99
246,Mezhdurechensk,100,RU,2022-10-06 01:56:34,100,53.6942,88.0603,34.65,2.06
247,Saryagash,0,KZ,2022-10-06 01:56:34,18,41.4511,69.1701,48.16,1.81
248,Auki,88,SB,2022-10-06 01:56:34,57,-8.7676,160.7034,86.22,3.62
249,Nioro,20,GM,2022-10-06 01:56:35,91,13.35,-15.75,75.88,6.02
250,Iracoubo,2,GF,2022-10-06 01:56:35,84,5.4802,-53.2011,79.23,9.95
251,Hazleton,40,US,2022-10-06 01:52:59,91,40.9584,-75.9746,53.94,0.0
252,La Troncal,95,EC,2022-10-06 01:56:36,84,-2.4,-79.3333,74.46,1.25
253,Mezen,100,RU,2022-10-06 01:55:42,95,65.8522,44.24,44.28,4.45
254,Wuwei,84,CN,2022-10-06 01:56:37,50,37.9281,102.6414,51.78,7.99
255,Yatou,51,CN,2022-10-06 01:56:37,45,37.15,122.3833,58.3,18.05
256,Fort Nelson,20,CA,2022-10-06 01:56:17,70,58.8053,-122.7002,44.19,9.22
257,Provideniya,100,RU,2022-10-06 01:56:38,100,64.3833,-173.3,41.36,35.99
258,Ayan,99,RU,2022-10-06 01:56:38,45,56.45,138.1667,35.62,18.86
259,Severo-Kurilsk,33,RU,2022-10-06 01:56:39,51,50.6789,156.125,46.78,11.52
260,Lucapa,100,AO,2022-10-06 01:56:39,90,-8.4192,20.7447,66.76,2.19
261,Songea,5,TZ,2022-10-06 01:56:40,73,-10.6833,35.65,57.06,4.21
262,San Cristobal,100,VE,2022-10-06 01:56:40,96,7.7669,-72.225,71.78,2.24
263,Bhainsdehi,100,IN,2022-10-06 01:56:40,91,21.6467,77.6325,71.76,3.49
264,Ushtobe,0,KZ,2022-10-06 01:56:41,28,45.2514,77.9838,46.92,7.58
265,Almirante Tamandare,75,BR,2022-10-06 01:56:41,91,-25.3247,-49.31,58.68,9.22
266,Leningradskiy,100,RU,2022-10-06 01:56:42,90,69.3833,178.4167,31.41,9.73
267,Jalu,8,LY,2022-10-06 01:56:42,50,29.0331,21.5482,70.83,10.2
268,Mpika,29,ZM,2022-10-06 01:56:43,53,-11.8343,31.4529,59.47,6.58
269,Fort Walton Beach,3,US,2022-10-06 01:56:43,66,30.4058,-86.6188,75.97,5.99
270,Jacqueville,62,CI,2022-10-06 01:56:44,91,5.2052,-4.4146,75.74,8.72
271,Barrow,100,US,2022-10-06 01:56:44,91,71.2906,-156.7887,31.28,9.95
272,Fairbanks,14,US,2022-10-06 01:55:03,72,64.8378,-147.7164,48.6,2.33
273,Puteyets,100,RU,2022-10-06 01:56:44,93,65.1716,57.091,41.88,9.06
274,Port Lincoln,0,AU,2022-10-06 01:57:45,57,-34.7333,135.8667,67.59,7.36
275,Hefei,100,CN,2022-10-06 01:57:45,93,31.8639,117.2808,51.82,8.95
276,Aklavik,100,CA,2022-10-06 01:57:46,92,68.2191,-135.0107,35.35,14.43
277,Bowen,7,AU,2022-10-06 01:57:46,67,-20.0167,148.2333,78.48,16.11
278,Abnub,0,EG,2022-10-06 01:57:47,67,27.2696,31.1511,73.62,12.24
279,Koson,0,UZ,2022-10-06 01:57:47,27,39.0375,65.585,48.52,8.59
280,Oksfjord,100,NO,2022-10-06 01:57:48,96,70.2396,22.3479,44.78,11.95
281,Botou,73,CN,2022-10-06 01:57:48,45,38.0667,116.5667,55.87,4.38
282,Hithadhoo,100,MV,2022-10-06 01:57:48,74,-0.6,73.0833,82.42,20.51
283,Kamenka,80,RU,2022-10-06 01:57:49,89,51.3223,42.7678,44.78,10.29
284,Kaeo,45,NZ,2022-10-06 01:53:00,52,-35.1,173.7833,56.82,14.12
